"","Club_Name","Club_Venue_Address","Club_Venue_Suburb","Club_Venue_State","Club_Venue_Postcode","Club_Venue_Email","Club_Venue_Latitude.","Club_Venue_Longitude","Club_Venue_Sports","Club_Venue_Website","Creation_Date"
"785","Marble Range Football Club","4 MORGAN LANE","WANGARY","SA",5607,"marblerange.juniors@gmail.com",-34.53831,135.47791,"Australian Rules","http://www.marblerangefc.com",1977-08-18
"786","Kilburn Junior Colts Football Club","LOT 580 LIONEL AVENUE","BLAIR ATHOL","SA",5084,"michaeld101@hotmail.com",-34.85842,138.59343,"Australian Rules","http://kfcc.com.au/",1954-10-28
"787","Redbacks Basketball Club","208 KINGS ROAD","PARAFIELD GARDENS","SA",5107,"secretaryatredbacksbasketball@gmail.com",-34.76818,138.60761,"Basketball","http://www.rerebacksbasketballclub.com.au",2000-12-11
"788","Stirling East Soccer Club","57 BRAESIDE ROAD","STIRLING","SA",5152,"stirlingeastsc@gmail.com",-35.00265,138.7343,"Football (Soccer)","",1951-08-20
"789","Stirling East Soccer Club","91 LONGWOOD ROAD","HEATHFIELD","SA",5153,"stirlingeastsc@gmail.com",-35.02077,138.71319,"Football (Soccer)","",1975-09-02
"790","Burra Booborowie Hallett Netball Club","LOT 471 SMELTS ROAD","BURRA","SA",5417,"kate@oldashrose.com.au",-33.67635,138.94169,"Australian Rules,Cricket,Netball,Tennis","",1989-11-04
"791","Lobethal Tennis Club","LOT 16 JEFFERY STREET","LOBETHAL","SA",5241,"president@lobethaltennisclub.org",-34.91071,138.8756,"Tennis","http://www.lobethaltennisclub.org",1989-11-14
"792","North Whyalla Football and Sporting Club","LOT 38 DUNCAN STREET","WHYALLA","SA",5600,"steve.mcmillan@amwu.asn.au",-33.03503,137.57147,"Australian Rules","",1963-02-03
"793","UniSA Eagles Gridiron Club","9B MAWSON LAKES BOULEVARD","MAWSON LAKES","SA",5095,"president@eagles.org.au",-34.81102,138.61626,"Gridiron","http://www.eagles.org.au",1972-10-20
"794","Kadina and District Youth Centre Incorporated","1 DOSWELL TERRACE","KADINA","SA",5554,"powersm@bigpond.net.au",-33.95889,137.70649,"Gymnastics","",1971-11-23
"795","Glencoe Tennis Club","27 KIRIP ROAD","GLENCOE","SA",5291,"cccleggett@bigpond.com",-37.66959,140.58333,"Tennis","",1961-11-27
"796","Tumby Bay Tennis Club","LOT 336 WEST TERRACE","TUMBY BAY","SA",5605,"collandra@activ8.net.au",-34.37769,136.0985,"Tennis","",1974-11-19
"797","Beyond Gymnastics","LOT 52 GALLOWAY ROAD","O'SULLIVAN BEACH","SA",5166,"",-35.12391,138.47608,"Gymnastics","",1978-03-04
"798","Pinnaroo Football Club","LOT LT 210 GOVT ROAD","PINNAROO","SA",5304,"mjgum@bigpond.com",-35.25678,140.91137,"Australian Rules","",1981-12-17
"799","Northern Rattlers Junior Basketball Club","105B MARTINS ROAD","SALISBURY DOWNS","SA",5108,"",-34.77495,138.61578,"Basketball","",1983-05-07
"800","Nomads Netball Club","10 O'HALLORAN TERRACE","MOUNT GAMBIER","SA",5290,"",-37.83336,140.77529,"Netball,Swimming,Tennis","",1962-06-17
"801","Tantanoola Football Club","30 TELFERS ROAD","TANTANOOLA","SA",5280,"",-37.69813,140.46055,"Australian Rules","",1964-04-01
"802","Real Aikido Australia","228-230 OAKLANDS ROAD","MORPHETTVILLE","SA",5043,"realaikidoadelaide@gmail.com",-34.99367,138.54526,"Boxing,Ju Jitsu,Judo","realaikido.com.au",1987-05-18
"803","Real Aikido Australia","239 THE PARADE","NORWOOD","SA",5067,"realaikidoadelaide@gmail.com",-34.92057,138.64066,"Boxing,Ju Jitsu,Judo","realaikido.com.au",1979-11-01
"804","Salisbury Villa Sports and Social Club","92-96 KINGS ROAD","PARAFIELD GARDENS","SA",5107,"salisburyvilla@hotmail.com",-34.77401,138.61691,"Football (Soccer)","",1999-07-20
"805","Angle Vale Football Club","LOT 23 FRADD ROAD","ANGLE VALE","SA",5117,"info@anglevalefc.com",-34.64571,138.65298,"Australian Rules","http://freeteams.com/AngleValeFootballClub",2003-08-15
"806","Crafers Netball Club","1 COX PLACE","CRAFERS","SA",5152,"lisa.schlein@bigpond.com",-34.99692,138.70381,"Netball","http://www.crafers.sa.netball.com.au/",1996-06-04
"807","Imperial Netball Club","LOT 1 ADELAIDE ROAD","MURRAY BRIDGE","SA",5253,"impnc2@hotmail.com",-35.12575,139.26398,"Netball","",1972-12-28
"808","Kangaroo Island Gymnastics","15 ADDISON STREET","KINGSCOTE","SA",5223,"shaunablack7@gmail.com",-35.65156,137.63228,"Gymnastics","",1953-07-16
"809","Hope Valley Tennis and Netball Club","LOT 71 LEEDS AVENUE","HOPE VALLEY","SA",5090,"jasonkociolek@gmail.com",-34.84765,138.69885,"Netball","http://www.hopevalleync.com.au",1951-12-10
"810","Berri Swimming Club","1 WILKINSON STREET","BERRI","SA",5343,"marjenw@tpg.com.au",-34.27846,140.5981,"Swimming","http://berri.swimming.org.au",1974-08-18
"811","Willunga Football Club","4-8 ALDINGA ROAD","WILLUNGA","SA",5172,"gloots@bigpond.com",-35.27059,138.55209,"Australian Rules","http://willungafc.com.au",1968-06-25
"812","Willunga Recreation and Sporting Centre","LOT 101 RAILWAY TERRACE","WILLUNGA","SA",5172,"kymsus@bigpond.com",-35.26908,138.55109,"Judo","",1971-04-17
"813","Cummins Kapinnie Football Club","2-10 BRUCE TERRACE","CUMMINS","SA",5631,"cumminskapinniefc@sanflcfl.com.au",-34.27143,135.72302,"Australian Rules","",1971-07-03
"814","Cummins Kapinnie Football Club","399 LAWRENCE ROAD","KAPINNIE","SA",5632,"cumminskapinniefc@sanflcfl.com.au",-34.10726,135.47421,"Australian Rules","",2003-03-08
"815","Barmera Little Athletics Club","3 HAMLYN STREET","GLOSSOP","SA",5344,"Barmeralac@gmail.com",-34.27523,140.52655,"Athletics","",1998-01-04
"816","West Torrens Birkalla Soccer Club","UNIT 1 3 MORPHETT ROAD","CAMDEN PARK","SA",5038,"john@cmaca.com.au",-34.97319,138.53734,"Football (Soccer)","http://www.wtbirkalla.com.au",1984-05-11
"817","Waikerie Little Athletics Club","LOT 601 SICHLER STREET","WAIKERIE","SA",5330,"waikerielittleathletics@gmail.com",-34.18548,139.9791,"Athletics","http://waikerielittleathletics.weebly.com/",1973-06-17
"818","Seaview Calisthenic College","378 SEAVIEW ROAD","HENLEY BEACH","SA",5022,"seaviewcalisthenicscollege@gmail.com",-34.91697,138.49412,"Calisthenics","http://seaviewcalisthenics.org",1984-10-09
"819","Seaview Calisthenic College","214 MILITARY ROAD","HENLEY BEACH","SA",5022,"seaviewcalisthenicscollege@gmail.com",-34.91786,138.49531,"Calisthenics","http://seaviewcalisthenics.org",1993-04-05
"820","Blind Sports SA","1A DUNCAN AVENUE","PARK HOLME","SA",5043,"kent.dredge@blindsportssa.org.au",-34.99113,138.55638,"Athletics,Bowls,Cycling,Golf,Gymnastics,Judo,Paralympics,Powerlifting,Sailing,Swimming,Tenpin Bowling,Triathlon","",1951-07-11
"821","Metro United Womens Football Club","LOT 82 QUINLIVAN ROAD","POORAKA","SA",5095,"dora@metrounitedwfc.com.au",-34.82904,138.62339,"Football (Soccer)","http://www.metrounitedwfc.com",1965-03-05
"822","Payton Calisthenics College","UNIT 9 43 SCOTT STREET","POORAKA","SA",5095,"payton.cali@gmail.com",-34.83204,138.61256,"Calisthenics","http://paytoncali.wix.com/paytoncalisthenics",1952-12-11
"823","Payton Calisthenics College","3-21 SOUTH TERRACE","POORAKA","SA",5095,"payton.cali@gmail.com",-34.83347,138.61291,"Calisthenics","http://paytoncali.wix.com/paytoncalisthenics",1992-04-27
"824","Woodville District Table Tennis Club","39 WINDSOR AVENUE","WOODVILLE PARK","SA",5011,"nadah13@gmail.com",-34.88248,138.54265,"Table Tennis","http://www.wdttc.org/",1978-06-04
"825","Jervois Combined Sports Club","11 WILLIAM STREET","JERVOIS","SA",5259,"jervoisfc@sanflcfl.com.au",-35.26535,139.43556,"Australian Rules","",1984-08-13
"826","Seaford Sports and Social Club","4 NORSEMAN STREET","PORT NOARLUNGA SOUTH","SA",5167,"Cheryl.ben@hotmail.com",-35.17389,138.47125,"Billiards,Darts,Football (Soccer)","http://www.seafordrangersfootballclub.com.au",1977-12-10
"827","Strathalbyn Tennis Club","6 MURRAY STREET","STRATHALBYN","SA",5255,"cliveraf@bigpond.com",-35.253,138.89354,"Tennis","http://www.tennis.com.au/strathalbyntc",1988-03-25
"828","Highbury Calisthenics","66 VALLEY ROAD","HOPE VALLEY","SA",5090,"exec.highburycali@gmail.com",-34.84692,138.70119,"Calisthenics","http://www.highburycalisthenics.asn.au",1956-01-25
"829","Highbury Calisthenics","11 SAARINEN AVENUE","ST AGNES","SA",5097,"exec.highburycali@gmail.com",-34.83466,138.7045,"Calisthenics","http://www.highburycalisthenics.asn.au",1971-03-28
"830","Littlehampton Tennis Club","LOT 40 PRINCES HIGHWAY","LITTLEHAMPTON","SA",5250,"juniors@littlehamptontennisclub.com.au",-35.05645,138.85506,"Tennis","www.littlehamptontennisclub.com.au",1991-10-17
"831","Prospect District Cricket Club","LOT 1 WILLCOX AVENUE","PROSPECT","SA",5082,"pdcc.juniors@gmail.com",-34.88486,138.60116,"Cricket","http://prospectcricketclub.org.au/",1962-03-16
"832","Gawler Rangers Baseball Club","140 ANGLE VALE ROAD","EVANSTON GARDENS","SA",5116,"gawlerrangersbaseballclub@gmail.com",-34.62533,138.71439,"Baseball","www.gawlerrangers.baseball.com.au",2002-11-12
"833","West Adelaide Squash Club","139A HENLEY BEACH ROAD","MILE END","SA",5031,"info@racketsandstrings.com.au",-34.92429,138.56441,"Squash","",2000-04-10
"834","Payneham Swimming Club","LOT 100 O G ROAD","FELIXSTOW","SA",5070,"payswim@yahoo.com.au",-34.89315,138.64205,"Swimming","www.payneham.swimming.org.au",1987-01-28
"835","Steel United Soccer & Social Club Incorporated","LOT 332 KEITH STREET","WHYALLA PLAYFORD","SA",5600,"dsharp3@bigpond.com",-33.03895,137.55624,"Football (Soccer)","facebook steel united soccer club",1971-02-08
"836","USC Lion Volleyball Club","8 LYNTON AVENUE","NORTH BRIGHTON","SA",5048,"danisejones4@gmail.com",-35.00506,138.52085,"Volleyball","http://www.usclionvolleyball.com.au/",1972-11-16
"837","Northeast Zodiac Netball Club","LOT 201 THE GROVE WAY","GOLDEN GROVE","SA",5125,"neznc1974@gmail.com",-34.78992,138.69768,"Netball","www.northeastzodiacs.net",1958-12-02
"838","McLaren Districts Riding Club","55 MAIN ROAD","MCLAREN FLAT","SA",5171,"pozze@senet.com.au",-35.20546,138.58538,"Equestrian","",1985-11-16
"839","Cowell Netball Club","UNIT 53 615 LINCOLN HIGHWAY","TIATUKIA","SA",5607,"mills.peter1@bigpond.com",-33.67915,136.92295,"Netball","",1953-05-23
"840","Strathalbyn & District Basketball Association","1 EAST TERRACE","STRATHALBYN","SA",5255,"sdba@hotmail.com.au",-35.2524,138.89435,"Basketball","",1964-01-26
"841","Payneham Norwood Union Football Club","26 ROSELLA STREET","PAYNEHAM","SA",5070,"juniors@pnufc.com.au",-34.89925,138.64304,"Australian Rules","pnufc.com.au",1960-10-16
"842","Marauders Hockey Club","40 STAMFORD TERRACE","PORT LINCOLN","SA",5606,"",-34.74156,135.85752,"Hockey","",1974-03-10
"843","Balaklava and Districts War Memorial Swimming Pool","LOT 101 WALLACE STREET","BALAKLAVA","SA",5461,"elee@rbe.net.au",-34.15021,138.41744,"Swimming","",1994-06-15
"844","Northern Districts Darts Association","LOT 11 HOMINGTON ROAD","ELIZABETH NORTH","SA",5113,"angecorns@hotmail.com",-34.70173,138.67529,"Darts","http://www.ndda.com.au/index.htm",1969-11-08
"845","Tea Tree Gully Football Club","17 STEVENTON DRIVE","BANKSIA PARK","SA",5091,"ttgdfcjuniorsecretary@gmail.com",-34.81176,138.72838,"Australian Rules","www.gullies.com.au",2004-03-24
"846","North Sportsmen's Cricket Club","UNIT 10 89 SHEPHERDSON ROAD","MOUNT GAMBIER","SA",5290,"nscctigers@live.com.au",-37.83043,140.75675,"Cricket","nscctigers.com",1984-07-27
"847","Glenunga Cricket Club Incorporated","83 CONYNGHAM STREET","FREWVILLE","SA",5063,"glenungacricketclub@gmail.com",-34.94718,138.63433,"Australian Rules,Cricket,Netball","http://www.glenungacc.sa.cricket.com.au/common/pages/public/entitydetails.aspx?",1986-03-08
"848","Semaphore SLSC","LOT 103 ESPLANADE","SEMAPHORE PARK","SA",5019,"info@semaphoreslsc.com.au",-34.8537,138.47703,"Surf Lifesaving","www.semaphoreslsc.com.au",1987-04-15
"849","Adelaide Vikings Water Polo Club Inc","LOT 1602 FITZROY TERRACE","NORTH ADELAIDE","SA",5006,"",-34.90088,138.59054,"Water Polo","",2003-01-09
"850","Mount Torrens Tennis Club","89 OVAL ROAD","MOUNT TORRENS","SA",5244,"joshuak.17@iinet.net.au",-34.87363,138.94876,"Tennis","",1969-12-21
"851","Boccia South Australia","9 PARK AVENUE","ABERFOYLE PARK","SA",5159,"",-35.0757,138.59163,"Bocce","",1972-05-22
"852","Boccia South Australia","LOT 970 PRESSER ROAD","TANUNDA","SA",5352,"",-34.52402,138.94284,"Bocce","",1956-05-14
"853","Boccia South Australia","12-14 GAWLER STREET","SALISBURY","SA",5108,"",-34.7617,138.64337,"Bocce","",2001-09-24
"854","Saint Augustines Soccer Club","2A MALINYA DRIVE","SALISBURY PARK","SA",5109,"Info@staugustinessoccerclub.com",-34.75686,138.67235,"Football (Soccer)","Info@staugustinessoccerclub.com",1988-02-27
"855","Jamestown Amateur Swimming Club","LOT 206 AYR STREET","JAMESTOWN","SA",5491,"jamestownswimming@gmail.com",-33.20573,138.60197,"Swimming","www.jamestown.swimming.org.au",1978-04-25
"856","International Optimist Dinghy Association of South Australia","6 MARY STREET","HINDMARSH","SA",5007,"",-34.90714,138.57306,"Sailing","",1995-09-04
"857","Echunga Cricket Club","LOT 155 ALDGATE-STRATHALBYN ROAD","ECHUNGA","SA",5153,"cricketclub.echunga@gmial.com",-35.09545,138.79075,"Cricket","",1962-05-18
"858","Murray River Rowing Institute","96 ROPER ROAD","MURRAY BRIDGE","SA",5253,"anna@mrri.com.au",-35.13476,139.29962,"Rowing","www.mrri.com.au",1996-09-01
"859","Lutheran Netball Club","LOT 42 VICTORIA TERRACE","GAWLER","SA",5118,"chenfam3@optusnet.com.au",-34.59565,138.73906,"Netball","https://lutherannetballgdna.wixsite.com",1989-05-03
"860","Wallaroo Softball Club","LOT 2245 CORNISH TERRACE","WALLAROO","SA",5556,"maria.woodforde956@schools.sa.edu.au",-33.93635,137.625,"Softball","",1972-01-16
"861","Onkaparinga Pony Club","46 OAKWOOD ROAD","OAKBANK","SA",5243,"secretary@onkaparingaponyclub.org.au",-34.97979,138.84319,"Pony Clubs","www.onkaparingaponyclub.org.au",1977-10-11
"862","Salisbury United Soccer Club","LOT 800 WATERLOO CORNER ROAD","BURTON","SA",5110,"secretary@salisburyunited.com.au",-34.74238,138.60619,"Football (Soccer)","www.salisburyunited.com.au",2003-02-12
"863","Modbury Jets Soccer Club","LOT 3 GOLDEN GROVE ROAD","RIDGEHAVEN","SA",5097,"juniors@modburysc.com.au",-34.81775,138.69626,"Football (Soccer)","www.modburysc.com.au",1977-05-23
"864","Playford Aquatic Club","1 CROCKERTON ROAD","ELIZABETH","SA",5112,"pac.thetreasurer@gmail.com",-34.72193,138.66646,"Swimming","http://www.playford-aquatic.com.au",1972-11-22
"865","South Coast Swimming Club","LOT 2 SEAMAN ROAD","NOARLUNGA CENTRE","SA",5168,"south.coast.swim.club@gmail.com",-35.14094,138.49019,"Swimming","southcoast.swimming.org.au",1988-11-01
"866","Copper Coast BMX Club","1 DOSWELL TERRACE","KADINA","SA",5554,"coppercoastbmx@gmail.com",-33.95889,137.70649,"BMX","http://www.bmxsa.com.au/thecoppercoast/en-au/contactus.aspx",1998-01-19
"867","Western Jets Netball Club","LOT 20 OVAL AVENUE","WOODVILLE SOUTH","SA",5011,"secretary.westernjets@gmail.com",-34.88821,138.53824,"Netball","www.westernjets.com",1970-09-28
"868","Australian White Tiger Combined Martial Arts","1 DOSWELL TERRACE","KADINA","SA",5554,"whitetigerclub@bigpond.com",-33.95889,137.70649,"Karate","australianwhitetigerschool.websyte.com.au",1993-03-07
"869","Mount Gambier & District Pony Club","81 AIRPORT ROAD","WANDILO","SA",5291,"sean.meg4@bigpond.com",-37.73976,140.78411,"Equestrian","",1956-01-12
"870","SkateSA","LOT 2 MILITARY ROAD","WEST BEACH","SA",5024,"skatesa@skateaustralia.org.au",-34.94818,138.50588,"Roller Sports","http://www.skatesa.org.au/",1982-03-21
"871","Western Districts Football Club","1 Railway Terrace","MINNIPA","SA",5654,"",-32.78714,135.12719,"Australian Rules","",1983-11-01
"872","Jayde Calisthenics Academy","LOT 40 FENCHURCH ROAD","ALDGATE","SA",5154,"",-35.0162,138.73513,"Calisthenics","",1989-06-23
"873","Jayde Calisthenics Academy","1 CAREY GULLY ROAD","BRIDGEWATER","SA",5155,"",-35.00912,138.75911,"Calisthenics","",1969-04-27
"874","Aldgate Netball Club","9 KEMP ROAD","ALDGATE","SA",5154,"",-35.0152,138.72681,"Netball,Tennis","",1999-09-19
"875","Aldgate Tennis Club","9 KEMP ROAD","ALDGATE","SA",5154,"",-35.0152,138.72681,"Netball,Tennis","",2004-01-14
"876","Penola Pony Club","LOT 1 RIDDOCH HIGHWAY","PENOLA","SA",5277,"penolaponyclub@hotmail.com",-37.40589,140.83522,"Equestrian","",1958-10-13
"877","Western Districts Netball Club","1 RAILWAY TERRACE","MINNIPA","SA",5654,"",-32.85251,135.15266,"Netball","",1956-09-09
"878","Elliston Netball Club","3 MEMORIAL DRIVE","ELLISTON","SA",5670,"tannille_fleming@hotmail.com",-33.64721,134.89187,"Netball","",1996-04-26
"879","Whyalla Academy of Gymsports","5 RACECOURSE ROAD","WHYALLA NORRIE","SA",5608,"",-33.02905,137.53846,"Gymnastics","",2003-03-03
"880","Jervois Tennis Club","LOT 1226 FRANCIS STREET","JERVOIS","SA",5259,"jervoistc@gmail.com",-35.26554,139.43406,"Tennis","",1953-06-25
"881","Woodville Little Athletic Centre","38A DRUMMOND AVENUE","FINDON","SA",5023,"enquiries@woodvillelittleathletics",-34.89776,138.52704,"Athletics","woodvillelittleathletics.com.au",1982-10-14
"882","Henley and Grange Baseball Club","LOT 1 NEWCOMBE AVENUE","WEST LAKES SHORE","SA",5020,"secretary@henleyandgrangebaseballclub.com",-34.86582,138.48548,"Baseball","www.henleyandgrangebaseballclub.com",1979-07-25
"883","Waybacks Football Club","26-30 WINDSOR AVENUE","PORT LINCOLN","SA",5606,"info@waybackfc.com",-34.74359,135.85469,"Australian Rules","www.waybackfc.com",1975-04-01
"884","Wudinna United Football Club","82-84 EYRE HIGHWAY","WUDINNA","SA",5652,"zane-petty@bigpond.com",-33.05788,135.46838,"Australian Rules","",1956-08-04
"885","Cherum Calisthenic College","39A WILLIAM ROAD","CHRISTIES BEACH","SA",5165,"cherumcali@gmail.com",-35.13247,138.47768,"Calisthenics","",1958-01-15
"886","Murray Bridge United Soccer Club","18-26 BEATTY TERRACE","MURRAY BRIDGE","SA",5253,"klenkegc@internode.on.net",-35.12531,139.2788,"Football (Soccer)","www.murraybridgeunited.com",1976-12-15
"887","Aldinga Bay Surf Life Saving Club","LOT 808 ESPLANADE","ALDINGA BEACH","SA",5173,"abslsc.secretary@gmail.com",-35.3083,138.44816,"Surf Lifesaving","aldingabayslsc.com.au",1985-01-20
"888","Woodville Hockey Club","50 NORTHGATE STREET","WOODVILLE NORTH","SA",5012,"secretary@woodvillehockeyclub.com",-34.86107,138.5339,"Hockey","woodvillehockeyclub.com.au",1978-09-01
"889","Inclusive Sport SA","40 ASHLEY STREET","TORRENSVILLE","SA",5031,"ceo@inclusivesportsa.com.au",-34.91717,138.5635,"Swimming","",1962-11-14
"890","Seacliff Community Recreation Association","UNIT 3 32 YACCA ROAD","SEACLIFF","SA",5049,"treasurer@seacliffrec.org.au",-35.031,138.52187,"Calisthenics,Gymnastics,Judo","seacliffyouthcentre.org.au",1955-07-28
"891","Morphett Vale Riding & Pony Club","198 WHEATSHEAF ROAD","MORPHETT VALE","SA",5162,"llimpus@bigond.net.au",-35.12474,138.54863,"Equestrian","",1976-04-27
"892","Gawler Motor Cycle Club","279 KANGAROO FLAT ROAD","ROSEWORTHY","SA",5371,"secretary@gawlermcc.com.au",-34.55597,138.72364,"Motorcycling","www.gawlermcc.com.au",1993-04-03
"893","Robe Surf Life Saving Club","10 ACACIA AVENUE","ROBE","SA",5276,"",-37.16688,139.76532,"Surf Lifesaving","",1990-09-28
"894","Loxton North Football Club","277 BALFOUR OGILVY AVENUE","LOXTON NORTH","SA",5333,"lisajn1975@bigpond.com",-34.42313,140.62281,"Australian Rules","",1963-08-25
"895","Lockleys Football Club","LOT 52 RUTLAND AVENUE","LOCKLEYS","SA",5032,"Fedelephilip@yahoo.com.au",-34.92987,138.52281,"Australian Rules","",1952-05-18
"896","Hahndorf Netball Club","98 ECHUNGA ROAD","HAHNDORF","SA",5245,"kath.golding@bigpond.com",-35.03857,138.80451,"Netball","",1958-04-02
"897","Millicent United Soccer Club","LOT 16 PLUNKETT TERRACE","MILLICENT","SA",5280,"lincsimp@bigpond.com",-37.59703,140.33784,"Football (Soccer)","Western Border Soccer Association Mount Gambier",1961-05-04
"898","Checkmates Softball Club","LOT 1 ELLEN STREET","PORT PIRIE","SA",5540,"",-33.1712,138.00879,"Softball","",2000-04-17
"899","Elizabeth Netball Association","LOT 96 MAVROS ROAD","ELIZABETH DOWNS","SA",5113,"elizabethnetballassoc@hotmail.com",-34.70474,138.68393,"Netball","www.ena.sa.netball.com.au",1957-05-15
"900","Edwardstown Football Club","1 EAST TERRACE","SOUTH PLYMPTON","SA",5038,"info@edwardstownfc.com.au",-34.98092,138.56281,"Australian Rules","www.edwardstownfc.com.au",1982-03-20
"901","Morphettville Park Cricket Club","LOT 61 DENHAM AVENUE","MORPHETTVILLE","SA",5043,"morphettvilleparkcricketclub@hotmail.com",-34.98903,138.54133,"Cricket","https://www.facebook.com/MorphettvilleParkCricketClub/",1970-11-21
"902","Naracoorte Squash Club","1 PALM STREET","NARACOORTE","SA",5271,"rangeview@skymesh.com.au",-36.95075,140.73192,"Squash","",1972-04-11
"903","Cummins Gymnastics Club","Cummins Showgrounds via Ponton Grove","CUMMINS","SA",NA,"garycretty@gmail.com",-34.2703,135.72019,"Gymnastics","",1967-05-06
"904","Crystal Brook Amateur Swimming Club","LOT 14 MAIS TERRACE","CRYSTAL BROOK","SA",5523,"crystalbrookswimmingclub@hotmail.com",-33.34765,138.20872,"Swimming","www.crystalbrook.swimming.org.au",1970-06-26
"905","Tru Taekwondo","75-79 GREENWITH ROAD","GOLDEN GROVE","SA",5125,"jmmniehuus@bigpond.com",-34.78451,138.72335,"Taekwondo","www.trutaekwondo.com.au",1957-04-09
"906","Adelaide Cricket Club","716-766 SOUTH ROAD","GLANDORE","SA",5037,"nigel.long1@optusnet.com.au",-34.96455,138.57137,"Cricket","www.adelaidecricketclub.org.au",2001-11-10
"907","Lyndoch Tennis Club","6 BAROSSA VALLEY WAY","LYNDOCH","SA",5351,"secretary@lyndochtennisclub.org.au",-34.59881,138.88728,"Tennis","",1987-07-08
"908","West Beach Soccer Club","LOT 52 NETLEY AVENUE","LOCKLEYS","SA",5032,"cmedrivesam@gmail.com",-34.92888,138.52234,"Football (Soccer)","https://westbeachfc.teamapp.com/",1974-12-28
"909","West Beach Soccer Club","LOT 52 NETLEY AVENUE","LOCKLEYS","SA",5032,"cmedrivesam@gmail.com",-34.92888,138.52234,"Football (Soccer)","https://westbeachfc.teamapp.com/",2000-07-25
"910","Tenpin SA","37 MONMOUTH ROAD","WESTBOURNE PARK","SA",5041,"samanager@tenpin.org.au",-34.97165,138.59525,"Tenpin Bowling","https://bowlpatrol.com.au",1973-05-01
"911","Tenpin SA","LOT 22 DAVID WITTON DRIVE","NOARLUNGA CENTRE","SA",5168,"samanager@tenpin.org.au",-35.14143,138.48717,"Tenpin Bowling","https://bowlpatrol.com.au",1973-11-01
"912","Tenpin SA","LOT 20 OVAL AVENUE","WOODVILLE SOUTH","SA",5011,"samanager@tenpin.org.au",-34.88821,138.53824,"Tenpin Bowling","https://bowlpatrol.com.au",1950-09-19
"913","Rockabellas Roller Derby League","68 ADELAIDE ROAD","MOUNT BARKER","SA",5251,"rockabellas2014@gmail.com ",-35.05937,138.85715,"Roller Sports","",1998-05-13
"914","Mawson Lakes Football Club","LOT 604 MAWSON LAKES BOULEVARD","MAWSON LAKES","SA",5095,"damianemery@hotmail.com",-34.81491,138.62459,"Australian Rules","http://www.mawsonlakesfc.com.au/",1998-03-20
"915","Naracoorte and District Hockey Association","LOT LT 29 BORDERTOWN ROAD","NARACOORTE","SA",5271,"naracoortedistricthockey@hotmail.com",-36.9479,140.72928,"Hockey","www.naracoortehockey.com.au",1989-11-25
"916","Centre Court Tennis","LOT 1 HUB DRIVE","ABERFOYLE PARK","SA",5159,"simon.longhurst@adam.com.au",-35.07377,138.59204,"Tennis","happyvalleytennis.com",1987-07-21
"917","Volleyball SA","43 LOWER PORTRUSH ROAD","MARDEN","SA",5070,"info@volleyballsa.com.au",-34.89267,138.63618,"Volleyball","www.volleyballsa.com.au",1993-07-13
"918","Naracoorte Smallbore and Air Rifle Club","335 WIMMERA HIGHWAY","NARACOORTE","SA",5271,"grantgill@southernphone.com.au",-36.95108,140.76746,"Shooting","",1982-02-02
"919","Flinders Little Athletics Centre","7 STURT ROAD","BEDFORD PARK","SA",5042,"",-35.01734,138.57193,"Athletics","",2000-12-24
"920","PHOS Camden Netball Club Inc","2 AROONA AVENUE","GLENELG NORTH","SA",5045,"secretary@phosnetball.com",-34.96756,138.52438,"Netball","www.phosnetball.com",1978-09-19
"921","Koala United Netball Club","LOT 96 MAVROS ROAD","ELIZABETH DOWNS","SA",5113,"jrbarker1623@gmail.com",-34.70444,138.68364,"Netball","www.facebook.com/KoalaUnitedNetball",1957-08-28
"922","Bordertown Hockey Club","LOT 103 VENN AVENUE","BORDERTOWN","SA",5268,"",-36.31644,140.76984,"Hockey","",1988-05-24
"923","Moana Districts Soccer Club","LOT 1 SCHOONER ROAD","SEAFORD","SA",5169,"modsoc2016@gmail.com",-35.19189,138.47458,"Football (Soccer)","",1983-11-27
"924","Port Noarlunga Netball Club","LOT 9 BRITAIN DRIVE","PORT NOARLUNGA SOUTH","SA",5167,"PNNCsecretary@outlook.com",-35.1583,138.47674,"Netball","www.pnncrays.sa.netball.com.au",1969-04-26
"925","Noarlunga Little Athletics Centre","LOT 50 BEACH ROAD","NOARLUNGA CENTRE","SA",5168,"noarlungalac@gmail.com.au",-35.13778,138.49582,"Athletics","http://www.noarlungalac.com.au",1952-02-20
"926","Lyrup Football Club","42 DOWNER AVENUE","LYRUP","SA",5343,"donnalb3@live.com.au",-34.25796,140.65337,"Australian Rules","",1975-02-12
"927","South Gambier Cricket Club","215-217 JUBILEE HIGHWAY EAST","GLENBURNIE","SA",5291,"southgambiercc@hotmail.com",-37.84192,140.82074,"Cricket","http://sgcc.sa.cricket.com.au/",1987-06-07
"928","Southern Eagles Football Club","40-42 STANSBURY ROAD","YORKETOWN","SA",5576,"tkbarlow@internode.on.net",-35.01889,137.61157,"Australian Rules","",1954-12-05
"929","Renmark Paringa Junior Netball Association","LOT 98 RAL RAL AVENUE","RENMARK","SA",5341,"rpjuniornetball@yahoo.com.au",-34.16816,140.74256,"Netball","",1997-11-10
"930","Meningie Football Club","LOT 336 WEST TERRACE","MENINGIE","SA",5264,"",-35.69279,139.33117,"Australian Rules","",1996-04-05
